brand,name,price,breadcrumbs,product_url
Maybelline,Superstay Lipstick - Lippy,Rs. 500,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-lipstick-lippy
Maybelline,660 Touch Of Spice Lipstick,Rs. 180,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-660-touch-of-spice-lipstick
nandiayan,6-Pieces Lipstick -3.5 ml Each,Rs. 286,Home/Personal Care/Lipstick,https://www.myntra.com/nandiayan-6-pieces-lipstick-35-ml-each
Maybelline,Creamy Matte - 695 Divine Wine,Rs. 190,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-creamy-matte-695-divine-wine
LOreal,Infallible Matte Lipstick- 635,Rs. 599,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-infallible-matte-lipstick-635
Mamaearth,Creamy Matte Pillow Nude,Rs. 199,Home/Personal Care/Lipstick,https://www.myntra.com/mamaearth-creamy-matte-pillow-nude
ETUDE,Dear Darling Water Tint - 02,Rs. 405,Home/Personal Care/Lipstick,https://www.myntra.com/etude-dear-darling-water-tint-02
Maybelline,Liquid Lipstick - Charmer,Rs. 381,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-charmer
Earth Rhythm,Lip & Cheek Tint - Cherry 5ml,Rs. 299,Home/Personal Care/Lipstick,https://www.myntra.com/earth-rhythm-lip-cheek-tint-cherry-5ml
FACES CANADA,Comfy Matte Wow Lipstick-07,Rs. 239,Home/Personal Care/Lipstick,https://www.myntra.com/faces-canada-comfy-matte-wow-lipstick-07
Maybelline,Nude Nuance Matte Lipstick 657,Rs. 190,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-nude-nuance-matte-lipstick-657
Pilgrim,Matte Bullet Lipstick - 04,Rs. 386,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-matte-bullet-lipstick-04
Maybelline,Superstay Vinyl Ink Lipstick,Rs. 517,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-vinyl-ink-lipstick
Maybelline,Super Stay Matte - Pioneer 20,Rs. 396,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-pioneer-20
Maybelline,Powder Matte - Almond Pink,Rs. 187,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-powder-matte-almond-pink
Maybelline,Superstay Matte Ink Crayon-25,Rs. 538,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-matte-ink-crayon-25
Earth Rhythm,pH Tint  Lip & Cheek - 5g,Rs. 199,Home/Personal Care/Lipstick,https://www.myntra.com/earth-rhythm-ph-tint-lip-cheek-5g
Maybelline,Liquid Lipstick - Nude Nuance,Rs. 223,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-nude-nuance
LOreal,Color Riche Lipstick 630,Rs. 560,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-lipstick-630
Fashion Colour,5-in-1 Lipstick Matte - 01,Rs. 98,Home/Personal Care/Lipstick,https://www.myntra.com/fashion-colour-5-in-1-lipstick-matte-01
Maybelline,Ultimatte Slim Lipstick,Rs. 305,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-ultimatte-slim-lipstick
Maybelline,Super Stay Matte - Founder 115,Rs. 441,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-founder-115
Pilgrim,Dubai Bling Lipstick- 08,Rs. 419,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-dubai-bling-lipstick-08
Maybelline,Creamy Matte Lipstick- 673,Rs. 194,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-creamy-matte-lipstick-673
Maybelline,Superstay Teddy Tint - 5 ml,Rs. 554,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-teddy-tint-5-ml
Parul Garg,Silk Matte Liquid Lipstick-3ml,Rs. 551,Home/Personal Care/Lipstick,https://www.myntra.com/parul-garg-silk-matte-liquid-lipstick-3ml
LOreal,Color Riche Satin Lipstick,Rs. 509,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Fashion Colour,No Transfer Matte Lipstick-17,Rs. 203,Home/Personal Care/Lipstick,https://www.myntra.com/fashion-colour-no-transfer-matte-lipstick-17
LOreal,Infallible Matte Lipstick- 665,Rs. 699,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-infallible-matte-lipstick-665
peripera,Ink Velvet Lipstick- 01,Rs. 518,Home/Personal Care/Lipstick,https://www.myntra.com/peripera-ink-velvet-lipstick-01
LOreal,InfallibleMatteLiquid Lipstick,Rs. 679,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-infalliblematteliquid-lipstick
Earth Rhythm,Lip & Cheek Tint - Brandy 5 ml,Rs. 299,Home/Personal Care/Lipstick,https://www.myntra.com/earth-rhythm-lip-cheek-tint-brandy-5-ml
LOreal,Color Riche Satin Lipstick,Rs. 551,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Lipstick - Touch of Spice 24,Rs. 235,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-lipstick-touch-of-spice-24
Hilary Rhoda,Matte Lipstick - Terracotta 04,Rs. 263,Home/Personal Care/Lipstick,https://www.myntra.com/hilary-rhoda-matte-lipstick-terracotta-04
Maybelline,Super Stay Matte - 75 Fighter,Rs. 381,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-75-fighter
FACES CANADA,2-Pcs Lipstick- 3.8 ml Each,Rs. 395,Home/Personal Care/Lipstick,https://www.myntra.com/faces-canada-2-pcs-lipstick-38-ml-each
Renee,Madness pH Stick,Rs. 439,Home/Personal Care/Lipstick,https://www.myntra.com/renee-madness-ph-stick
LOreal,Color Riche Satin Lipstick,Rs. 594,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Lakme,Xtraordin-airy Lip Mousse,Rs. 693,Home/Personal Care/Lipstick,https://www.myntra.com/lakme-xtraordin-airy-lip-mousse
Hilary Rhoda,Lipstick 4 g - Cosmic Candy-01,Rs. 194,Home/Personal Care/Lipstick,https://www.myntra.com/hilary-rhoda-lipstick-4-g-cosmic-candy-01
LOreal,Color Riche Satin Lipstick,Rs. 594,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Liquid Lipstick-Upbeat Crimson,Rs. 231,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-upbeat-crimson
Daily Life Forever52,Sensational Lipstick 6ml - 004,Rs. 344,Home/Personal Care/Lipstick,https://www.myntra.com/daily-life-forever52-sensational-lipstick-6ml-004
Maybelline,Superstay Lipstick - Lippy,Rs. 500,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-lipstick-lippy
Maybelline,Creamy Matte - 695 Divine Wine,Rs. 190,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-creamy-matte-695-divine-wine
ETUDE,Dear Darling Water Tint - 02,Rs. 405,Home/Personal Care/Lipstick,https://www.myntra.com/etude-dear-darling-water-tint-02
Maybelline,660 Touch Of Spice Lipstick,Rs. 184,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-660-touch-of-spice-lipstick
nandiayan,6-Pieces Lipstick -3.5 ml Each,Rs. 286,Home/Personal Care/Lipstick,https://www.myntra.com/nandiayan-6-pieces-lipstick-35-ml-each
Pilgrim,Dubai Bling Lipstick- 08,Rs. 419,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-dubai-bling-lipstick-08
LOreal,Infallible Matte Lipstick- 665,Rs. 699,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-infallible-matte-lipstick-665
Mamaearth,Creamy Matte Pillow Nude,Rs. 199,Home/Personal Care/Lipstick,https://www.myntra.com/mamaearth-creamy-matte-pillow-nude
Lakme,Forever Matte Liquid Lip,Rs. 288,Home/Personal Care/Lipstick,https://www.myntra.com/lakme-forever-matte-liquid-lip
LOreal,Infallible Matte Lipstick- 635,Rs. 599,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-infallible-matte-lipstick-635
Pilgrim,Dubai Bling Lipstick- 04,Rs. 419,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-dubai-bling-lipstick-04
Maybelline,Liquid Lipstick - Nude Nuance,Rs. 223,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-nude-nuance
